Droitwich,52.26890,-2.14532
Wandsworth,51.45540,-0.19417
Newmarket,52.24710,0.40740
Wallingford,51.60077,-1.12561
Newbury,51.40730,-1.32920
Sanderstead,51.33235,-0.07548
Kensington,51.49910,-0.19760
Sandbach,53.14271,-2.36349
Fulham,51.48031,-0.19948
Towcester,52.13010,-0.98940
Abergavenny,51.81828,-3.02827
Harrogate,53.99008,-1.53643
Hitchin,51.95010,-0.28140
Swaffham,52.65573,0.68407
Newport,52.76956,-2.37539
Barry,51.41439,-3.23919
Worthing,50.81377,-0.36765
Rushden,52.29910,-0.61880
Otley,53.90380,-1.69830
Farnham,51.21550,-0.80208
Lincoln,53.25140,-0.52093
Sheffield,53.37287,-1.48050
Wolverhampton,52.57600,-2.13430
Willerby,53.76393,-0.45531
Rickmansworth,51.64100,-0.47040
Lichfield,52.67520,-1.84330
Worcester,52.18266,-2.19550
Warminster,51.20564,-2.17790
Exeter,50.72440,-3.51401
South bank tower,51.50726,-0.10564
Ashford,51.15566,0.85768
Bracknell,51.41815,-0.75377
Stratford-upon-Avon,52.18088,-1.70024
Cheadle Hulme,53.37355,-2.18677
Wilmslow,53.32830,-2.22940
Balham,51.44500,-0.15180
Southampton,50.92460,-1.39450
"Preston, Walton-le-Dale",53.74882,-2.67769
Ampthill,52.03250,-0.49320
Bedford,52.14429,-0.42014
Wootton,52.21029,-0.89203
Lewes,50.87500,0.01430
Market Harborough,52.47548,-0.91595
Wells,51.21006,-2.65198
Barbican,51.52180,-0.09230
Poundbury,50.71441,-2.46214
Cowbridge,51.46101,-3.44753
Roehampton,51.44958,-0.23960
Battersea,51.47869,-0.14921
Bagshot Road,51.40524,-0.74652
Tubs Hill,51.27789,0.17979
Greenwich,51.48246,-0.01636
East Grinstead,51.12350,-0.01090
"Birmingham, Colmore Row",52.48283,-1.89828
"Ipswich, Corn Exchange",52.05734,1.15247
Kings Hill,51.27208,0.40292
Buxton,53.25990,-1.91100
Formby,53.55650,-3.05810
Comely Bank,55.95948,-3.21959
Chipping Sodbury,51.53997,-2.39625
"Oakgrove, Milton Keynes",52.03807,-0.71344
St Katharine Docks,51.50716,-0.06788
Christchurch,50.73651,-1.77933
Bayswater,51.51685,-0.18741
Eastbourne,50.77280,0.26770
Oundle,52.48435,-0.46410
Northwich,53.25906,-2.51421
Chiswick,51.49300,-0.26220
Morningside,55.92940,-3.20930
Gretna Green Services,55.00790,-3.08370
West Ealing,51.51321,-0.32005
Hersham,51.36530,-0.39860
Parkstone,50.72870,-1.93990
Clapham Junction,51.46220,-0.16780
Edgware Road,51.51739,-0.16581
Buckingham,52.00071,-0.98544
Helensburgh,55.99377,-4.70382
Windsor,51.48202,-0.61033
Monument,51.51014,-0.08666
Islington,51.53405,-0.10756
John Lewis Watford,51.65467,-0.39220
Hexham,54.97310,-2.09730
Victoria Street,51.49766,-0.13750
Vauxhall,51.48486,-0.12411
Harborne,52.45840,-1.94980
Brackley,52.02700,-1.15172
Lymington,50.75720,-1.55070
Sandhurst,51.33820,-0.77680
Harts Head Moor West Services,53.71158,-1.74700
Horley,51.18049,-0.16336
Charnock Richard North Services,53.62980,-2.69281
Wimborne,50.80031,-1.98220
Headington,51.75889,-1.21437
Guildford,51.25659,-0.59439
Michael Wood,51.65855,-2.42329
Membury North Services,51.48406,-1.55839
Michealwood South Services,51.65575,-2.43257
Woodall South services,53.31424,-1.27859
John Lewis Southampton,50.90419,-1.40796
East Putney,51.45956,-0.21183
"Leeds, Meanwood",53.82814,-1.56753
"Nottingham, Trinity Square",52.95569,-1.14845
Clifton,51.45689,-2.60821
Crouch End,51.57899,-0.12409
Oxted,51.25901,-0.00515
Chester,53.19316,-2.87799
Raynes Park,51.40863,-0.23350
Oadby,52.59919,-1.07958
Leatherhead,51.29453,-0.32924
Bressenden Place,51.49801,-0.14281
Faringdon,51.65017,-1.57484
Haywards Heath,51.00430,-0.10416
Gordano Services,51.47751,-2.70793
Birchanger Green Services,51.87160,0.19492
Fleet North Services,51.29611,-0.85570
Leicester Forest East Services,52.61997,-1.20786
Warwick South Services,52.21733,-1.50491
Peartree Services,51.79412,-1.28416
Cardiff Gate Services,51.53997,-3.13775
